instance_no,L2_value,drop_value,loss
546,7.64E-06,0.36388178,0.637355998
547,1.56E-06,0.250123682,0.640392575
548,0.000152327,0.009777378,0.643377569
549,0.000180295,0.109703277,0.636925891
550,0.000115249,0.125031572,0.63307566
551,0.000245908,0.143123787,0.634441009
552,4.90E-06,0.428049521,0.647108808
553,5.63E-06,0.057285813,0.636171988
554,0.000261296,0.382693711,0.636076722
555,3.11E-05,0.043380748,0.633821782
556,2.24E-06,0.133518955,0.636132798
557,4.11E-06,0.074494906,0.633901405
558,1.54E-06,0.331611928,0.634969413
559,2.06E-06,0.299381123,0.636971623
560,9.20E-06,0.229672698,0.634269217
561,0.00021991,0.195329994,0.633378085
562,0.000691204,0.474622252,0.633059561
563,6.19E-06,0.119985568,0.638906673
564,1.73E-05,0.496163903,0.638137022
565,3.67E-06,0.035265894,0.6304638
566,3.58E-06,0.375857996,0.637099302
567,7.99E-05,0.041681169,0.634040803
568,4.57E-05,0.255738979,0.636865127
569,4.09E-05,0.449257231,0.632307389
570,6.09E-06,0.136064658,0.631041411
571,1.22E-05,0.30439716,0.636808196
572,4.59E-06,0.097717366,0.632469541
573,1.27E-06,0.037661982,0.635038784
574,2.52E-06,0.150911957,0.636087027
575,0.000191023,0.466455915,0.634859559
576,1.18E-06,0.467826056,0.635094354
577,5.74E-06,0.225703863,0.632690555
578,1.59E-06,0.059378715,0.632522595
579,9.68E-05,0.208073326,0.633665445
580,3.45E-06,0.238746989,0.6319399
581,0.000154359,0.296075253,0.635571679
582,2.93E-06,0.320618462,0.632084462
583,2.94E-06,0.237220108,0.633930084
584,7.30E-05,0.060278934,0.632421821
585,3.96E-05,0.002292534,0.632058102
586,0.000106701,0.021420043,0.630605528
587,6.23E-06,0.342177713,0.631475624
588,1.26E-06,0.188169695,0.63286854
589,0.000128335,0.198834531,0.632272872
590,7.00E-05,0.157675745,0.633578536
591,1.90E-06,0.12729599,0.634296873
592,6.14E-05,0.200221667,0.635479456
593,1.59E-05,0.040735328,0.63405427
594,5.27E-05,0.44777376,0.633696932
595,4.37E-06,0.343965086,0.63203077
596,5.78E-05,0.189755064,0.633292556
597,8.79E-05,0.475233374,0.634368271
598,2.69E-06,0.188555134,0.632772267
599,2.61E-06,0.386030113,0.641098893
600,5.20E-06,0.186818026,0.635973457
601,0.000280366,0.395730161,0.633412078
602,7.12E-06,0.495176254,0.631093368
603,2.40E-05,0.066019367,0.638337523
604,6.88E-06,0.346333766,0.633627373
605,1.17E-06,0.299004722,0.634351799
606,0.000459952,0.039909313,0.63616631
607,7.97E-05,0.30451015,0.643335992
608,0.000171688,0.30785502,0.634034622
609,6.66E-05,0.10377251,0.632780802
610,3.47E-06,0.441073598,0.633582142
611,8.29E-06,0.261834031,0.634262156
612,1.79E-06,0.160774234,0.632028136
613,1.63E-05,0.225276057,0.633117834
614,8.07E-06,0.053275545,0.634713164
615,2.75E-05,0.498599873,0.6342682
616,0.000593932,0.035572234,0.63780084
617,1.91E-05,0.034146176,0.639558831
618,5.88E-05,0.093269031,0.639202294
619,5.31E-06,0.002311467,0.635907418
620,1.99E-06,0.054830799,0.632358068
621,4.55E-05,0.456339311,0.630287802
622,1.59E-06,0.055172562,0.63569389
623,3.20E-05,0.484723098,0.638218147
624,0.000110865,0.494975048,0.634872594
625,1.18E-05,0.162976419,0.64185726
626,1.00E-05,0.211219761,0.634272176
627,3.45E-06,0.249794611,0.637504947
628,9.03E-06,0.269572108,0.634884363
629,1.69E-05,0.099110115,0.634312183
630,3.09E-05,0.186668761,0.635802931
631,9.62E-06,0.413259762,0.632256603
632,7.00E-05,0.014300086,0.636650479
633,1.56E-06,0.067405003,0.631859255
634,6.11E-06,0.425223393,0.6314549
635,0.000211771,0.341864085,0.634737042
636,1.69E-05,0.375656926,0.629968825
637,1.74E-06,0.137553167,0.634722856
638,3.11E-05,0.286589838,0.634766299
639,1.81E-06,0.057185028,0.633250603
640,3.40E-05,0.496267576,0.629985687
641,7.62E-05,0.381733344,0.633614478
642,2.19E-05,0.148288396,0.629499099
643,1.15E-06,0.206125003,0.633111417
644,5.89E-05,0.228093013,0.631312263
645,1.71E-06,0.266046377,0.632451704
646,0.000119489,0.072169218,0.63501772
647,4.20E-06,0.234759877,0.62744303
648,6.51E-06,0.169313065,0.626475114
649,1.47E-05,0.397799968,0.632954082
650,4.92E-05,0.093943959,0.633019689
651,2.65E-06,0.372668327,0.624754575
652,0.000518541,0.04708848,0.633839744
653,1.76E-05,0.449153808,0.631864607
654,5.95E-05,0.264088855,0.636183631
655,1.58E-06,0.06257852,0.629853806
656,1.60E-05,0.021507897,0.630969682
657,3.91E-06,0.197318494,0.638645446
658,0.000663304,0.27204171,0.635733584
659,1.91E-05,0.336055341,0.636236399
660,1.56E-06,0.40531201,0.628759584
661,2.20E-06,0.173486204,0.62727682
662,0.00028342,0.041883119,0.635921884
663,5.51E-06,0.206571707,0.631394866
664,1.58E-05,0.199421753,0.634368342
665,6.68E-06,0.055116495,0.625832832
666,0.000115708,0.040529409,0.634990937
667,6.56E-05,0.363968164,0.636470908
668,2.03E-05,0.383461723,0.632331795
669,0.000270868,0.142818046,0.637596869
670,6.76E-06,0.478361648,0.631025276
671,1.31E-06,0.305543131,0.63213824
